Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURAHealthcareServices,Chrome 126.0.0.0,,,12-07-2024 21:24:21,12-07-2024 21:25:13,52.476s,PASSED
,,,,,,,
Test Cases/CURAHealthcareService/Appontment_TestCases/Book_Appointment_Medicare_Basic,Chrome 126.0.0.0,,,12-07-2024 21:24:21,12-07-2024 21:24:32,11.174s,PASSED
"callTestCase(findTestCase(""CURAHealthcareService/Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 21:24:21,12-07-2024 21:24:28,7.200s,PASSED
"selectOptionByValue(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Select_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 126.0.0.0,,,12-07-2024 21:24:28,12-07-2024 21:24:29,0.696s,PASSED
"click(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Select_Healthcare_Program_Medicare""))",Chrome 126.0.0.0,,,12-07-2024 21:24:29,12-07-2024 21:24:29,0.410s,PASSED
"setText(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Visit_Date""), ""20/07/2024"")",Chrome 126.0.0.0,,,12-07-2024 21:24:29,12-07-2024 21:24:30,0.753s,PASSED
"click(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Comment""))",Chrome 126.0.0.0,,,12-07-2024 21:24:30,12-07-2024 21:24:31,0.568s,PASSED
"setText(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Comment""), ""Test Apppointment"")",Chrome 126.0.0.0,,,12-07-2024 21:24:31,12-07-2024 21:24:31,0.714s,PASSED
"click(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Book_Appointment_Button""))",Chrome 126.0.0.0,,,12-07-2024 21:24:31,12-07-2024 21:24:32,0.535s,PASSED
,,,,,,,
Test Cases/CURAHealthcareService/Appontment_TestCases/Book_Appointment_Medicare_DataDriven,Chrome 126.0.0.0,,,12-07-2024 21:24:32,12-07-2024 21:24:44,12.281s,PASSED
"callTestCase(findTestCase(""CURAHealthcareService/Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 21:24:32,12-07-2024 21:24:38,6.083s,PASSED
"selectOptionByValue(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Select_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 126.0.0.0,,,12-07-2024 21:24:38,12-07-2024 21:24:39,0.755s,PASSED
"click(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Select_Healthcare_Program_Medicare""))",Chrome 126.0.0.0,,,12-07-2024 21:24:39,12-07-2024 21:24:39,0.328s,PASSED
"setText(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Visit_Date""), ""20/07/2024"")",Chrome 126.0.0.0,,,12-07-2024 21:24:39,12-07-2024 21:24:40,0.711s,PASSED
"click(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Comment""))",Chrome 126.0.0.0,,,12-07-2024 21:24:40,12-07-2024 21:24:41,0.538s,PASSED
