Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURAHealthcareServices,Chrome 126.0.0.0,,,17-07-2024 21:43:32,17-07-2024 21:44:40,1m - 7.800s,PASSED
,,,,,,,
Test Cases/CURAHealthcareService/Appontment_TestCases/Book_Appointment_Medicare_Basic,Chrome 126.0.0.0,,,17-07-2024 21:43:32,17-07-2024 21:43:48,15.650s,PASSED
"callTestCase(findTestCase(""CURAHealthcareService/Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 21:43:33,17-07-2024 21:43:43,10.233s,PASSED
"selectOptionByValue(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Select_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 126.0.0.0,,,17-07-2024 21:43:43,17-07-2024 21:43:44,0.906s,PASSED
"click(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Select_Healthcare_Program_Medicare""))",Chrome 126.0.0.0,,,17-07-2024 21:43:44,17-07-2024 21:43:45,0.385s,PASSED
"setText(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Visit_Date""), ""20/07/2024"")",Chrome 126.0.0.0,,,17-07-2024 21:43:45,17-07-2024 21:43:46,0.995s,PASSED
"click(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Comment""))",Chrome 126.0.0.0,,,17-07-2024 21:43:46,17-07-2024 21:43:46,0.587s,PASSED
"setText(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Comment""), ""Test Apppointment"")",Chrome 126.0.0.0,,,17-07-2024 21:43:46,17-07-2024 21:43:47,0.991s,PASSED
"click(findTestObject(""CURAHealthcareService/AppointmentPageObjects/Book_Appointment_Button""))",Chrome 126.0.0.0,,,17-07-2024 21:43:47,17-07-2024 21:43:48,0.657s,PASSED
,,,,,,,
Test Cases/CURAHealthcareService/Appontment_TestCases/Book_Appointment_Medicare_DataDriven,Chrome 126.0.0.0,,,17-07-2024 21:43:48,17-07-2024 21:44:04,16.269s,PASSED
"callTestCase(findTestCase(""CURAHealthcareService/Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 21:43:49,17-07-2024 21:43:57,8.464s,PASSED
